level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
25,188,1.0,1.0,2.0,21 Savage - Mad Stalkers,21 Savage - Mad Stalkers
26,185,1.0,1.0,2.0,21 Savage - Rap Saved Me,21 Savage - Rap Saved Me
55,302,1.0,1.0,2.0,A Boogie Wit da Hoodie - No Promises,A Boogie Wit da Hoodie - No Promises
56,304,1.0,1.0,2.0,A Boogie Wit da Hoodie - Say A',A Boogie Wit da Hoodie - Say A'
65,325,1.0,1.0,2.0,A$AP Ferg - Plain Jane,A$AP Ferg - Plain Jane
123,733,1.0,1.0,2.0,Ariana Grande - Beauty And The Beast,Ariana Grande - Beauty and the Beast
134,986,1.0,1.0,2.0,BTS - DNA,BTS - DNA
170,1349,1.0,1.0,2.0,Big Sean - Jump Out The Window,Big Sean - Jump Out The Window
173,1336,1.0,1.0,2.0,Big Sean - No Favors,Big Sean - No Favors
177,1344,1.0,1.0,2.0,Big Sean - Sacrifices,Big Sean - Sacrifices
194,1396,1.0,1.0,2.0,Billie Eilish - idontwannabeyouanymore,Billie Eilish - idontwannabeyouanymore
205,1457,1.0,1.0,2.0,Blake Shelton - I Lived It,Blake Shelton - I Lived It
206,1458,1.0,1.0,2.0,Blake Shelton - I'll Name The Dogs,Blake Shelton - I'll Name the Dogs
220,1557,1.0,1.0,2.0,Brett Eldredge - The Long Way,Brett Eldredge - The Long Way
224,1564,1.0,1.0,2.0,Brett Young - Like I Loved You,Brett Young - Like I Loved You
225,1565,1.0,1.0,2.0,Brett Young - Mercy,Brett Young - Mercy
236,1644,1.0,1.0,2.0,Bryce Vine - Drew Barrymore,Bryce Vine - Drew Barrymore
241,1670,1.0,1.0,2.0,Bryson Tiller - Run Me Dry,Bryson Tiller - Run Me Dry
259,1795,1.0,1.0,2.0,Camila Cabello - Crying In The Club,Camila Cabello - Crying in the Club
261,1800,1.0,1.0,2.0,Camila Cabello - Never Be The Same,Camila Cabello - Never Be the Same
301,1955,1.0,1.0,2.0,Chase Rice - Eyes On You,Chase Rice - Eyes On You
310,1986,1.0,1.0,2.0,China Anne McClain - What's My Name,China Anne McClain - What's My Name
319,2012,1.0,1.0,2.0,Chris Brown - Privacy,Chris Brown - Privacy
320,2013,1.0,1.0,2.0,Chris Brown - Questions,Chris Brown - Questions
321,2014,1.0,1.0,2.0,Chris Brown - Tempo,Chris Brown - Tempo
327,2021,1.0,1.0,2.0,Chris Janson - Drunk Girl,Chris Janson - Drunk Girl
328,2022,1.0,1.0,2.0,Chris Janson - Fix A Drink,Chris Janson - Fix a Drink
332,2040,1.0,1.0,2.0,Chris Stapleton - Broken Halos,Chris Stapleton - Broken Halos
333,2045,1.0,1.0,2.0,Chris Stapleton - Either Way,Chris Stapleton - Either Way
334,2056,1.0,1.0,2.0,Chris Stapleton - Millionaire,Chris Stapleton - Millionaire
340,2095,1.0,1.0,2.0,Chris Young - Losing Sleep,Chris Young - Losing Sleep
405,2532,1.0,1.0,2.0,Darius Rucker - For The First Time,Darius Rucker - For The First Time
409,2545,1.0,1.0,2.0,David Guetta - 2U,David Guetta - 2U
418,2574,1.0,1.0,2.0,DeJ Loaf - No Fear,DeJ Loaf - No Fear
424,2642,1.0,1.0,2.0,Demi Lovato - Sorry Not Sorry,Demi Lovato - Sorry Not Sorry
425,2645,1.0,1.0,2.0,Demi Lovato - Tell Me You Love Me,Demi Lovato - Tell Me You Love Me
